TRACTS,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Census Tract 4001, Alameda County, California",2937,117,2820,2821,2161,142,4,456,9,49,116
"Census Tract 4002, Alameda County, California",1974,151,1823,1859,1659,33,4,147,0,16,115
"Census Tract 4003, Alameda County, California",4865,399,4466,4546,3468,518,17,423,5,115,319
"Census Tract 4004, Alameda County, California",3703,332,3371,3473,2628,456,14,278,6,91,230
"Census Tract 4005, Alameda County, California",3517,340,3177,3249,1905,955,27,209,5,148,268
"Census Tract 4006, Alameda County, California",1571,126,1445,1486,720,628,4,80,1,53,85
"Census Tract 4007, Alameda County, California",4206,439,3767,3978,1391,2084,52,251,16,184,228
"Census Tract 4008, Alameda County, California",3594,367,3227,3386,1281,1490,21,438,7,149,208
"Census Tract 4009, Alameda County, California",2302,307,1995,2131,812,1038,10,129,5,137,171
"Census Tract 4010, Alameda County, California",5678,806,4872,5271,1487,2923,45,424,12,380,407
"Census Tract 4011, Alameda County, California",4156,522,3634,3838,2152,1009,35,454,10,178,318
"Census Tract 4012, Alameda County, California",2416,226,2190,2254,1510,429,10,235,4,66,162
"Census Tract 4013, Alameda County, California",3528,488,3040,3331,1060,1292,27,674,17,261,197
"Census Tract 4014, Alameda County, California",4314,911,3403,4061,792,2138,53,429,6,643,253
"Census Tract 4015, Alameda County, California",2630,406,2224,2500,683,1413,10,185,17,192,130
"Census Tract 4016, Alameda County, California",2163,449,1714,2010,446,1027,48,260,3,226,153
"Census Tract 4017, Alameda County, California",2667,683,1984,2489,889,908,38,271,9,374,178
"Census Tract 4018, Alameda County, California",1703,329,1374,1593,301,993,11,53,7,228,110
"Census Tract 4022, Alameda County, California",2385,720,1665,2218,553,896,15,283,2,469,167
"Census Tract 4024, Alameda County, California",2351,220,2131,2207,366,1371,12,329,6,123,144
"Census Tract 4025, Alameda County, California",1784,81,1703,1698,156,1201,10,297,0,34,86
"Census Tract 4026, Alameda County, California",1151,66,1085,1115,145,346,4,581,4,35,36
"Census Tract 4027, Alameda County, California",1569,243,1326,1456,292,894,8,163,0,99,113
"Census Tract 4028, Alameda County, California",3345,276,3069,3136,891,1395,26,714,14,96,209
"Census Tract 4029, Alameda County, California",1434,137,1297,1362,395,295,5,623,4,40,72
"Census Tract 4030, Alameda County, California",2788,36,2752,2737,130,126,4,2472,1,4,51
"Census Tract 4031, Alameda County, California",2238,321,1917,2156,560,687,5,756,5,143,82
"Census Tract 4033, Alameda County, California",4054,242,3812,3900,1143,471,10,2194,5,77,154
"Census Tract 4034, Alameda County, California",4146,387,3759,3897,1521,844,17,1352,13,150,249
"Census Tract 4035.01, Alameda County, California",4374,440,3934,4043,1560,1252,23,1044,12,152,331
"Census Tract 4035.02, Alameda County, California",1991,242,1749,1851,978,540,13,217,3,100,140
"Census Tract 4036, Alameda County, California",4482,436,4046,4205,1707,1724,17,559,7,191,277
"Census Tract 4037.01, Alameda County, California",2587,236,2351,2409,1396,560,15,360,1,77,178
"Census Tract 4037.02, Alameda County, California",1724,149,1575,1604,1040,318,13,173,5,55,120
"Census Tract 4038, Alameda County, California",3461,290,3171,3235,2315,339,12,470,3,96,226
"Census Tract 4039, Alameda County, California",3584,323,3261,3362,2137,595,24,485,8,113,222
"Census Tract 4040, Alameda County, California",2819,304,2515,2635,1796,416,10,329,5,79,184
"Census Tract 4041.01, Alameda County, California",2929,274,2655,2762,2140,185,5,342,5,85,167
"Census Tract 4041.02, Alameda County, California",2283,149,2134,2176,1621,186,7,306,4,52,107
"Census Tract 4042, Alameda County, California",3483,187,3296,3297,2656,178,15,405,2,41,186
"Census Tract 4043, Alameda County, California",3218,170,3048,3041,2467,144,10,379,0,41,177
"Census Tract 4044, Alameda County, California",5314,355,4959,4994,3788,261,14,832,7,92,320
"Census Tract 4045.01, Alameda County, California",1677,97,1580,1563,1278,73,1,198,1,12,114
"Census Tract 4045.02, Alameda County, California",5784,347,5437,5421,4368,370,22,559,6,96,363
"Census Tract 4046, Alameda County, California",4353,239,4114,4099,3326,261,6,450,7,49,254
"Census Tract 4047, Alameda County, California",1954,117,1837,1856,1473,159,6,186,0,32,98
"Census Tract 4048, Alameda County, California",2684,308,2376,2498,1340,549,30,460,10,109,186
"Census Tract 4049, Alameda County, California",4129,399,3730,3879,2419,481,15,827,5,132,250
"Census Tract 4050, Alameda County, California",3136,229,2907,2943,2185,307,10,381,1,59,193
"Census Tract 4051, Alameda County, California",4197,226,3971,3958,2983,508,6,392,7,62,239
"Census Tract 4052, Alameda County, California",4597,434,4163,4292,1940,724,20,1431,16,161,305
"Census Tract 4053.01, Alameda County, California",2603,369,2234,2406,1205,625,19,384,4,169,197
"Census Tract 4053.02, Alameda County, California",2530,370,2160,2389,711,507,16,961,5,189,141
"Census Tract 4054.01, Alameda County, California",3957,829,3128,3747,674,800,38,1748,15,472,210
"Census Tract 4054.02, Alameda County, California",3114,615,2499,2979,416,734,11,1430,4,384,135
"Census Tract 4055, Alameda County, California",3643,449,3194,3447,652,763,17,1718,9,288,196
"Census Tract 4056, Alameda County, California",3137,410,2727,2964,778,725,17,1208,3,233,173
"Census Tract 4057, Alameda County, California",3243,559,2684,3078,475,1077,19,1162,10,335,165
"Census Tract 4058, Alameda County, California",3965,729,3236,3861,412,793,27,2110,21,498,104
"Census Tract 4059.01, Alameda County, California",3910,1564,2346,3713,633,550,43,1548,48,891,197
"Census Tract 4059.02, Alameda County, California",3035,704,2331,2877,422,444,25,1643,3,340,158
"Census Tract 4060, Alameda County, California",3450,734,2716,3314,752,447,27,1623,8,457,136
"Census Tract 4061, Alameda County, California",4381,2529,1852,4139,1598,499,56,540,19,1427,242
"Census Tract 4062.01, Alameda County, California",4649,2285,2364,4420,783,769,68,1409,27,1364,229
"Census Tract 4062.02, Alameda County, California",4718,3092,1626,4498,1195,599,143,675,20,1866,220
"Census Tract 4063, Alameda County, California",4113,1574,2539,3908,859,777,72,1409,32,759,205
"Census Tract 4064, Alameda County, California",2145,372,1773,2052,618,604,30,570,15,215,93
"Census Tract 4065, Alameda County, California",5930,2608,3322,5610,1437,1206,82,1436,37,1412,320
"Census Tract 4066.01, Alameda County, California",4596,1074,3522,4316,908,1292,38,1542,18,518,280
"Census Tract 4066.02, Alameda County, California",2493,739,1754,2303,497,668,31,709,1,397,190
"Census Tract 4067, Alameda County, California",5048,442,4606,4714,2694,700,37,1112,30,141,334
"Census Tract 4068, Alameda County, California",3428,380,3048,3246,1542,536,19,997,20,132,182
"Census Tract 4069, Alameda County, California",3719,472,3247,3427,1532,837,39,852,6,161,292
"Census Tract 4070, Alameda County, California",5885,1546,4339,5559,1174,1528,51,1885,39,882,326
"Census Tract 4071.01, Alameda County, California",3414,1916,1498,3224,879,552,44,634,30,1085,190
"Census Tract 4071.02, Alameda County, California",4351,2096,2255,4156,1092,919,55,872,15,1203,195
"Census Tract 4072, Alameda County, California",6746,5044,1702,6424,2088,505,169,711,7,2944,322
"Census Tract 4073, Alameda County, California",2598,1639,959,2490,856,350,33,222,17,1012,108
"Census Tract 4074, Alameda County, California",3954,2566,1388,3753,913,825,66,381,19,1549,201
"Census Tract 4075, Alameda County, California",3931,1945,1986,3758,802,1504,35,250,59,1108,173
"Census Tract 4076, Alameda County, California",6027,2097,3930,5662,1401,2216,74,693,155,1123,365
"Census Tract 4077, Alameda County, California",4109,558,3551,3869,1133,2127,35,311,26,237,240
"Census Tract 4078, Alameda County, California",2425,424,2001,2261,966,806,25,233,22,209,164
"Census Tract 4079, Alameda County, California",2706,354,2352,2473,1219,626,11,484,5,128,233
"Census Tract 4080, Alameda County, California",2671,257,2414,2487,1490,355,10,521,16,95,184
"Census Tract 4081, Alameda County, California",5991,464,5527,5613,2352,1874,12,1210,15,150,378
"Census Tract 4082, Alameda County, California",4054,817,3237,3801,901,2188,25,190,38,459,253
"Census Tract 4083, Alameda County, California",4167,676,3491,3801,1211,1917,29,345,29,270,366
"Census Tract 4084, Alameda County, California",3323,1258,2065,3135,419,1753,42,99,84,738,188
"Census Tract 4085, Alameda County, California",4972,2263,2709,4727,812,2349,28,114,109,1315,245
"Census Tract 4086, Alameda County, California",5492,2476,3016,5220,985,2546,51,234,52,1352,272
"Census Tract 4087, Alameda County, California",7207,3236,3971,6885,1374,3201,44,330,70,1866,322
"Census Tract 4088, Alameda County, California",5547,2548,2999,5237,939,2377,31,424,35,1431,310
"Census Tract 4089, Alameda County, California",3414,2029,1385,3261,656,1119,47,87,58,1294,153
"Census Tract 4090, Alameda County, California",3552,1733,1819,3392,732,1570,24,130,30,906,160
"Census Tract 4091, Alameda County, California",2255,1169,1086,2160,504,942,24,52,31,607,95
"Census Tract 4092, Alameda County, California",3152,1559,1593,3030,393,1281,23,144,63,1126,122
"Census Tract 4093, Alameda County, California",5229,3143,2086,4982,1248,1691,39,146,46,1812,247
"Census Tract 4094, Alameda County, California",4306,2891,1415,4158,1137,1028,40,217,40,1696,148
"Census Tract 4095, Alameda County, California",3122,2117,1005,2956,825,795,26,62,59,1189,166
"Census Tract 4096, Alameda County, California",5063,2977,2086,4838,1015,1723,44,134,80,1842,225
"Census Tract 4097, Alameda County, California",4696,1830,2866,4456,784,2343,38,191,119,981,240
"Census Tract 4098, Alameda County, California",2887,368,2519,2738,498,1916,11,126,13,174,149
"Census Tract 4099, Alameda County, California",3308,268,3040,3139,978,1791,9,253,9,99,169
"Census Tract 4100, Alameda County, California",2805,268,2537,2647,974,1393,20,180,7,73,158
"Census Tract 4101, Alameda County, California",2406,427,1979,2281,385,1506,22,139,18,211,125
"Census Tract 4102, Alameda County, California",3062,1038,2024,2947,415,1671,20,151,25,665,115
"Census Tract 4103, Alameda County, California",3536,2186,1350,3356,766,1035,34,117,101,1303,180
"Census Tract 4104, Alameda County, California",3792,1644,2148,3606,831,1593,15,327,13,827,186
