medallion,hack_license,date,payment_type,fare_amount,tip_amount,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
BCF07D2F69DB29C27DA7CCF5DE6B4843,0A87955DEBF2CB6BBC96AA8849FBC272,2013-04-19,CRD,8,2.1,40.757977,-73.978165,40.751171,-73.989838
873562ABA9FEBB12CFEA925E0CCB8077,4BBC785E233250DDC828A76B34047F2D,2013-03-12,CRD,18,3,40.731781,-74.006683,40.75066,-73.994499
DBAE099FA96B1265214F828E4A891EE0,732F1EB98A114D6123588CAF49793F08,2013-08-01,CRD,9.5,2.1,40.73777,-74.004707,40.726002,-74.009834
5C8B0F8EEC4A67E2863BC312AD58753E,B6E27B6C6E8349D070A1B2C5B8925D13,2013-09-28,CSH,8.5,0,40.759945,-73.974602,40.759388,-73.984734
FDC9BDC6C8B0BAA256E94B3FDC874F21,A031A69CF59EDE53F8794597697DE043,2013-05-09,CRD,43,11,40.748528,-73.97625,40.747868,-74.002586
1FE5ECB5BEC80518C68ADDE7DFEE69C7,E329F35933B0A9B1F14C2E1FD1B7EBF6,2013-10-20,CRD,4,1,40.764252,-73.966743,40.743763,-73.983322
D15358FDE0B2CA330A22C88389AAC3A0,D6FDE56227BCBDF00BBFA4C5BB13364A,2013-04-17,CRD,17,3.5,40.743977,-73.995804,40.744343,-74.007416
26A1BAACBEDDFF0733FDAFEA52561C5D,E6FB66A6D43437C014E813564C6B9FBB,2013-04-10,CRD,17.5,3.6,40.756775,-73.989937,40.77063,-73.86525
DBAE099FA96B1265214F828E4A891EE0,732F1EB98A114D6123588CAF49793F08,2013-10-22,CRD,52,11.56,40.743137,-73.980072,40.735336,-73.982712
7F8CCA7A24BDD43E431D6DD7B64C196E,6E83FC61F7F2A5AB867143AD533F16F3,2013-11-02,CRD,17.5,1,40.786983,-73.977936,40.80637,-73.952919
2FD34773ECCE76E331A8158107BA3BE4,A35CF86A1FAE2C2A213A99AE86BEBCE1,2013-03-14,CSH,11,0,40.773167,-73.982452,40.773815,-73.964134
50CD625534510FDABADA4432FE9E6AB5,0DBF135F25773B9D43170343F492572F,2013-10-26,CRD,15,1,40.749294,-73.99556,40.759052,-73.988686
26A1BAACBEDDFF0733FDAFEA52561C5D,E6FB66A6D43437C014E813564C6B9FBB,2013-10-07,CRD,7,1.6,40.791321,-73.971497,40.775921,-73.964478
4C1FCE764ABE7E995320E72C84B3138A,70137452B4020E4464411CE35B3C55D4,2013-04-03,CRD,17.5,3,40.774307,-73.98851,40.755325,-73.981094
A0D85C6CA7DE4BAE1434205FB1EE0EF7,BD8354F326F65DE3FDAB89C51D1FF542,2013-10-02,CRD,4,0.5,40.723221,-73.994911,40.761612,-73.971558
D6B4EA09D5D8C0834DFD13CEAA59FC65,88E24873ACB7E02EC9CCD4E2AB2BB251,2013-04-12,CSH,9.5,0,40.708702,-74.010391,40.756104,-73.987846
51A32C7DFEAE66C01B83A8498A682699,0D0B06050ACFAD338617C2A1BFC63B41,2013-10-18,CRD,26,5.4,40.756287,-73.973732,40.756832,-73.998413
3F20DDBF3AA1B882657E2F1084DA0ECA,B8458B9B535768D4AB269A7DF7FA6BBC,2013-12-12,CRD,8.5,1,40.767704,-73.968925,40.776566,-73.96199
47F4D439685D0369045661915B4072B7,BFF5BD616466C9867CA59C592B1280D3,2013-09-02,CRD,5.5,1.2,40.769737,-73.96212,40.75539,-73.979561
49ADB4AB6C594725DE9A363F9A940303,46F508ECB676D1AD4B711B44ABCAAE2D,2013-12-20,CRD,9,1.9,40.756714,-73.989708,40.787575,-73.977615
B1DA0569F2A0F8D6F3D745B4812648FC,10FD8F891C66479113CA0C0251CD6A36,2013-01-31,CRD,12,2.6,40.648766,-73.78331,40.748207,-73.988914
0A72CCB7739854D1C02CCD418773E7F0,804B5CECCFF6E6C24AFB5D348FCECBB1,2013-03-10,CRD,6.5,2.1,40.771278,-73.956505,40.73246,-73.996368
